ngo_id,darpan_id,ngo_name,ngo_type,registration_no,district,state,sub_district,address,pincode,sectors,main_category,latitude,longitude,last_updated,migrated,record_id
702c0b80220d405f27359136824b84f2,AP/2024/0462668,'ANDHRAPRADESH STATE KHADI INSTITUTIONS FEDERATION,Society,240 OF 2024,ANANTHAPURAMU,Andhra Pradesh,YADIKI,15-581/Nagulakatta Veedi/Y ADIKI/YADIKI/Anantapur/AndraPradesh/India/515408,515408,Labour & Employment,other,,,2024-11-05T11:14:33,TRUE,
d07007907103406d03445c07d0cb27e9,AP/2017/0177484,(ANKITA) Association for Needy and Kindle the Illiterate through Action,Society,16/1994,KRISHNA,Andhra Pradesh,Machilipatnam,H NO 5-127/6 SHANTI NAGAR HYDERSHAKOTA RAJENDRA NAGAR MANDAL HYDERABAD 500091,521001,"Agriculture, Education & Literacy, Environment & Forests, HIV/AIDS, Rural Development & Poverty Alleviation, Tribal Affairs, Water Resources, Women's Development & Empowerment",environment,,,2020-12-31T06:58:04,TRUE,
b0ef0160550140323b42b00e521a59c5,AP/2025/0519033,20 RUPEES HELP FOUNDATIONS,Society,1043 of 2019,VISAKHAPATNAM,Andhra Pradesh,Anakapalle,20-1-6A/2 GAVARAPALEM ANAKAPALLI,531031,,other,,,2025-02-09T21:16:07,TRUE,
50cf04d0900e40fe3962fe96e2472ce4,AP/2025/0530625,2000 SCHOOL FRIENDS SEVA SAMITHI,Trust,Jan-25,GUNTUR,Andhra Pradesh,Sattenapalli,"Madala Village, Muppalla Mandalam, Palnadu District, Andhra Pradesh",522403,,other,,,2025-02-27T19:26:43,TRUE,
c01304d0b60d40f027957b64088e84f3,AP/2024/0439765,2003 CIVIL POLICE WELFARE ASSOCIATION,Society,404,ANANTHAPURAMU,Andhra Pradesh,ANANTAPUR,"D NO 12-2-500,ASHOK NAGAR,ANANTAPUR",515001,,other,,,2024-08-08T11:24:41,TRUE,
90890b70bc02401e2246e248f5f421b6,AP/2024/0480761,21ST CENTURY EDUCATIONAL SOCIETY,Society,234 of 2017,EAST GODAVARI,Andhra Pradesh,Rajahmundry,6-102/1 OPP Z P HIGH SCHOOL SITANAGARAM ROAD TORREDU RAJAHMUNDRY EAST GODAVARI,533293,Education & Literacy,social_welfare,,,2024-12-23T13:32:01,TRUE,
d03105f0640f40b61bd3727ef20c1536,AP/2020/0263186,22ND BATCH OF JNVP,Society,May-19,WEST GODAVARI,Andhra Pradesh,TADEPALLIGUDEM,"4-431, RAMANNAGUDEM ROAD, PEDATADEPALLI, TADEPALLIGUDEM, WEST GODAVARI DISTRICT, ANDHRA PRADESH, 534101",534101,,other,,,2020-10-09T17:33:58,TRUE,
700009d0730540251926fb6091026d88,AP/2023/0351491,24 SPOKES ORGANISATION,Society,35 of 2020,GUNTUR,Andhra Pradesh,Narasaraopet,"3-11-1
Yallamanda,Narasaraopet,
Palnadu,
Andhra Pradesh-522601",522601,"Agriculture, Art & Culture, Children, Dalit Upliftment, Disaster Management, Education & Literacy, Food Processing, Health & Family Welfare, Information & Communication Technology, Labour & Employment, Micro Finance (SHGs), Micro Small & Medium Enterprises, Nutrition, Rural Development & Poverty Alleviation, Science & Technology, Skill Development, Sports, Tribal Affairs, Urban Development & Poverty Alleviation, Vocational Training, Women's Development & Empowerment, Youth Affairs",health,,,2023-07-20T17:09:58,TRUE,
80e30c102a0d408350f9287113a43793,AP/2025/0597333,24 teerthankar teerth dham Trust,Society,107 of 1987,SRI POTTI SRIRAMULU NELLORE,Andhra Pradesh,Nellore Rural,"Nh-5,kakutur, Venkatachalasatram",524320,"Children, Education & Literacy",social_welfare,14.358693,79.929329,2025-04-17T16:12:42,FALSE,
f0c402f05700409d0fd32891800a21d0,AP/2016/0105803,3 MEN ACADEMICS,Society,101/1991,PRAKASAM,Andhra Pradesh,NUTHALAPADU,"NUTHALAPADU POST
PARCHUR MANDAL
PRAKASAM DISTRICT
PIN:523169",523169,"Aged/Elderly, Nutrition",elderly_care,,,,TRUE,
b06f0350330940b228671644c4fb74e8,AP/2024/0454575,A S R CHARITABLE TRUST,Trust,Nov-24,CHITTOOR,Andhra Pradesh,SRIKALAHASTI,"DOOR NO:1-213,NARAYANA PURAM, URANDUR (POST) ,SRIKALAHASTI (M),TIRUPATI,AP.",517640,Education & Literacy,social_welfare,,,2024-10-01T16:23:15,TRUE,
30fa06c05f05419e04e7335e80806d49,AP/2026/1075069,A S R RAJU CULTURAL ASSOCIATION KAKINADA,Society,110 of 2017,KAKINADA,Andhra Pradesh,Kakinada (Rural),"3-76/2 ,VAKALAPUDI, KAKINADA RURAL",533005,"Education & Literacy, Skill Development",social_welfare,,,2026-05-05T17:20:02,FALSE,
d0ab03d0ca0c40bc27f4b590843d8ff7,AP/2024/0437617,A S RAJA TRUST,Trust,Nov-99,VISAKHAPATNAM,Andhra Pradesh,Visakhapatnam,"10-50-11/5,Waltair Mn Road
Beside Care Hospitals
Ramnagar
Visakhapatnam- 530002",530002,,other,,,2024-08-05T16:03:19,TRUE,
d07e0630380b403004778386d7cf3d56,AP/2018/0211898,A SOUTH INDIA RURAL WOMENS ASSOCIATION FOR DEVELOPMENT,Society,10 OF 1996,PRAKASAM,Andhra Pradesh,KANDUKUR,BRUNDAVANAM KANDUKUR,523105,Women's Development & Empowerment,social_welfare,,,2018-10-26T17:56:38,TRUE,
d0b90c40200c40587518925597db3049,AP/2025/0785739,A V S ANAND FOUNDATION,Society,377/2018,CHITTOOR,Andhra Pradesh,Chittoor Rural,"10-51, DIGUVATHOTTIVARIPALLI, CHERLOPALLI",517305,Education & Literacy,social_welfare,,,2025-08-22T12:49:20,FALSE,
508c0ae0f50140ae93b83967e05c5ba1,AP/2026/0986051,A V SUBBAMMA MEMORIAL SOCIETY,Society,247 OF 2010,KURNOOL,Andhra Pradesh,Kurnool Urban,H No.51-963-4-A SBI COLONY KURNOOL,518001,Education & Literacy,social_welfare,,,2026-02-06T16:38:02,FALSE,
e0ae0f00a10340560e274925187b7093,AP/2019/0223576,A VENKATESWARLU EDUCATIONAL TRUST,Trust,16/2009,Y.S.R.,Andhra Pradesh,KADAPA,"7/213-7,NGO COLONY,KADAPA",516002,Education & Literacy,social_welfare,,,2019-01-11T11:05:15,TRUE,
80e10880200640e72b70d74621ea02b4,AP/2024/0382539,A1 CHARITABLE TRUST,Trust,220,GUNTUR,Andhra Pradesh,GUNTUR,"DOOR NO. 85-4-275, KODANDARAMA NAGAR, 3rd LINE CHUTTUGUNTA GUNTUR
522004",522004,"Aged/Elderly, Agriculture, Animal Husbandry,  Dairying & Fisheries, Animal Welfare, Art & Culture, Biotechnology, Children, Civic Issues, Dalit Upliftment, Differently Abled, Disaster Management, Drinking Water, Education & Literacy, Environment & Forests, Food Processing, Health & Family Welfare, HIV/AIDS, Housing, Human Rights, Information & Communication Technology, Labour & Employment, Land Resources, Legal Awareness & Aid, Micro Finance (SHGs), Micro Small & Medium Enterprises, Minority Issues, New & Renewable Energy, Nutrition, Panchayati Raj, Prisoner's Issues, Right to Information & Advocacy, Rural Development & Poverty Alleviation, Science & Technology, Scientific & Industrial Research, Skill Development, Sports, Tourism, Tribal Affairs, Urban Development & Poverty Alleviation, Vocational Training, Water Resources, Women's Development & Empowerment, Youth Affairs",health,,,2024-01-16T13:07:39,TRUE,
a0b40c10c802409e95f95220982c3fb1,AP/2026/0992831,A1 EDUCATIONAL SOCIETY,Society,321 of 2025,TIRUPATI,Andhra Pradesh,Srikalahasti,9/883 REVENUE WARD NO 9 GOPALVANAM SRIKALAHASTI,517644,"Children, Differently Abled, Disaster Management, Drinking Water, Education & Literacy, Environment & Forests, Food Processing, Health & Family Welfare, Human Rights, Information & Communication Technology",health,,,2026-02-12T12:32:01,FALSE,
60e40480a60f40061e15d709f90d5bf7,AP/2023/0346504,AAA CHARITABLE TRUST,Trust,23/2023,CHITTOOR,Andhra Pradesh,Chittoor,"AAA CHARITABLE TRUST
c/o Dinesh Madipuri
4-19-B, Yadamalavari Palli (V)
Kattakrindha Palle (P)
Thavanam Palle (M)
Aragonda, Chittoor- A.P 517129 India.91-9866345197",517129,"Aged/Elderly, Agriculture, Children, Civic Issues, Dalit Upliftment, Differently Abled, Drinking Water, Education & Literacy, Environment & Forests, Health & Family Welfare, Housing, Human Rights, Labour & Employment, Micro Small & Medium Enterprises, Nutrition, Panchayati Raj, Rural Development & Poverty Alleviation, Skill Development, Sports, Vocational Training, Water Resources, Women's Development & Empowerment, Youth Affairs",health,,,2023-05-24T16:25:24,TRUE,
60000e701f07408d26c1d37fe3fe0f72,AP/2023/0378342,AADITYA ABHYAS ACADEMY,Society,156 OF 2020,EAST GODAVARI,Andhra Pradesh,EAST GODAVARI,"LADIES HOSTEL ROAD, VENKAT NAGAR, KAKINADA, EAST GODAVRI, ANDHRA PRADESH",533001,,other,,,2024-04-15T16:56:24,TRUE,
80f90a70760f40ba16257676a6417181,AP/2022/0317661,AADIVASI JEEVANA MITRA SWACHANDA SEVA SANGHAM,Society,604 of 2021,VISAKHAPATNAM,Andhra Pradesh,VISAKHAPATNAM,"FLAT NO. 103, SAI SRAVANTHI TOWERS, KRM COLONY, MADDILAPALEM, VISAKHAPATNAM530013, ANDHRA PRADESHPEDABAYALU VILLAGE,PEDABAYALU MANDAL, ALLURI SEETHARAMARAJU DIST, ANDHRA PRADESH 531040",530013,"Labour & Employment, Panchayati Raj, Skill Development, Tourism, Tribal Affairs, Women's Development & Empowerment",social_welfare,,,2022-06-25T18:06:55,TRUE,
